,0
0,scheduling of outputs in grammar-based hardware synthesis of data communication protocols ;grammar-based hardware synthesis of data communication protocols ;specification of exception handling in grammar-based hardware synthesis 
1,scheduling of outputs in grammar-based hardware synthesis of data communication protocols ;grammar-based hardware synthesis of data communication protocols ;specification of exception handling in grammar-based hardware synthesis 
2,scheduling of outputs in grammar-based hardware synthesis of data communication protocols ;grammar-based hardware synthesis of data communication protocols ;specification of exception handling in grammar-based hardware synthesis 
3,the triples database: a community resource for yeast molecular biology ;an xml application for genomic data interoperation ;triples: a database of gene function in saccharomyces cerevisiae 
4,the triples database: a community resource for yeast molecular biology ;an xml application for genomic data interoperation ;triples: a database of gene function in saccharomyces cerevisiae 
5,the triples database: a community resource for yeast molecular biology ;an xml application for genomic data interoperation ;triples: a database of gene function in saccharomyces cerevisiae 
6,a look-ahead interpreter for sequential prolog and its implementation 
7,a new computation rule for prolog 
8,an ab initio study of excited states of guanine in the gas phase and aqueous media: electronic transitions and mechanism of spectral oscillations 
9,moldyn: a generalized program for the evaluation of molecular dynamics models using nuclear magnetic resonance spin-relaxation data 
10,stream-packing: resource allocation in web server farms with a qos guarantee 
11,metering and accounting for composite e-services 
12,"hpp: a reliable causal broadcast protocol for large-scale replication ;hpp: a reliable causal broadcast protocol for large scale replication in wide area networks,;hpp: a hierarchical propagation protocol for large scale replication in wide area networks,"
13,"hpp: a reliable causal broadcast protocol for large-scale replication ;hpp: a reliable causal broadcast protocol for large scale replication in wide area networks,;hpp: a hierarchical propagation protocol for large scale replication in wide area networks,"
14,"a new matching algorithm for managing location information in mobile computing,"
15,"research commentary: workflow management systems in e-business,"
16,"a new approach for conflict resolution and rule processing in a knowledge-based system,"
17,"a high availability \sqrt{n} hierarchical grid algorithm for replicated data ;efficient solution techniques for the quorumcast problem,;efficient quorumcast routing algorithms ;a high availability sqrt n hierarchical grid algorithm for replicated data,"
18,"new techniques for data reduction in database systems for knowledge discovery applications,"
19,"a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,;eroica: a rule-based approach to organizational policy management in workflow systems "
20,"zigzag path-based matching algorithms for high availability and load balancing,"
21,"semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;performance considerations for an operating system transaction manager ;operating system support for data management ;semantics based transaction management techniques for replicated data,;the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager,;performance evaluation of an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
22,"the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager ;performance evaluation of an operating system transaction manager,;semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;operating system support for data management ;semantics based transaction management techniques for replicated data,;performance considerations for an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
23,"performance analysis of a hierarchical quorum consensus algorithm for replicated objects,"
24,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
25,"a performance study of general grid structures for replicated data ;a performance study of general grid structures for replicated data,"
26,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
27,"the effect of join selectivities on optimal nesting order ;performance considerations for an operating system transaction manager ;performance evaluation of an operating system transaction manager,;semantics based transaction management techniques for replicated data ;performance evaluation of an operating system transaction manager ;operating system support for data management,;operating system support for data management ;semantics based transaction management techniques for replicated data,;performance considerations for an operating system transaction manager,;the effect of join selectivity on optimal nesting order,"
28,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
29,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
30,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
31,"a framework for dynamic routing and operational integrity controls in a workflow management system,;workflow-centric information distribution through email,;workflow support for electronic commerce applications,;architectures and techniques for large-scale, distributed workflow management on the internet,;eroica: a rule-based approach to organizational policy management in workflow systems ;a workflow-centric study of organizational knowledge distribution ;a dynamic grouping technique for distributing codified- knowledge in large organizations,;a framework for dynamic routing and operational integrity controls in a workflow management system ;xrl: an extensible routing language for electronic commerce applications,;data management issues for large scale, distributed workflow systems on the internet ;dynamic routing and operational controls in a workflow management system,;a workflow-centric study of organizational knowledge distribution,"
32,"a high availability \sqrt{n} hierarchical grid algorithm for replicated data ;efficient solution techniques for the quorumcast problem,;efficient quorumcast routing algorithms ;a high availability sqrt n hierarchical grid algorithm for replicated data,"
33,"a high availability \sqrt{n} hierarchical grid algorithm for replicated data ;efficient solution techniques for the quorumcast problem,;efficient quorumcast routing algorithms ;a high availability sqrt n hierarchical grid algorithm for replicated data,"
34,"workflow mediation using vortexml ;smart supply web: an application of web-based data and workflow mediation, workshop on technologies for e-services vldb-tes workshop , cairo, september ;beyond discrete e-services;workflow mediation using vortexml,;beyond discrete e-services: composing session-oriented services in telecommunications ;querying and splicing of workflows,;smart supply web: an application of web-based data and workflow mediation ;querying and splicing of xml workflows "
